Site,715,N_scars,Length,Proximal_width,Medial_width,Distal_width,Thickness_at_medial,Platform_width,Platform_thickness,raw_material,raw_mat_simplified,Chert,Igneous,Other,Quartzite,N,E,Min,Mid,Max,Type,Prop_RT_Core,Count_RT_Core,Elongation,Convergence,PlatformArea,DorsalSA_TwoTrapezoids,Dorsal scar pattern,Region
Ksar Akil 28A,2087,3,46.73,23.19,26.92,3.99,7.09,23.06,8.92,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.735884101,6.75,205.6952,946.51615,Unidirectional Convergent,Levant
Ksar Akil 28A,2188,5,63.68,45.81,36.26,3.23,8.22,45.4,8,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.756205185,11.23,363.2,1935.2352,Unidirectional Convergent,Levant
Ksar Akil 28A,2195,5,69.42,30.22,34.16,2.07,12.54,28.62,8.95,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,2.032201405,16.5,256.149,1746.08655,Unidirectional Convergent,Levant
Ksar Akil 28A,2197,3,70.28,38.76,37.4,13.47,9.11,37.42,7.61,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.879144385,2.78,284.7662,2231.9171,Unidirectional Convergent,Levant
Ksar Akil 28A,2208,4,39.8,26.38,26.08,2.52,5.04,25.29,5.77,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.52607362,10.35,145.9233,806.547,Unidirectional Convergent,Levant
Ksar Akil 28A,2219,3,46.29,26.41,26.15,4.43,6.45,27.59,5.49,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.770172084,5.9,151.4691,962.13765,Unidirectional Convergent,Levant
Ksar Akil 28A,2221,4,49.69,32.96,31.16,2.37,9.33,31.24,8.91,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.594672657,13.15,278.3484,1213.057125,Unidirectional Convergent,Levant
Ksar Akil 28A,2233,4,52.93,26.88,41.44,4.51,9.13,25.33,7,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.27726834,9.19,177.31,1512.077775,Unidirectional Convergent,Levant
Ksar Akil 28A,2239,5,55.82,33.43,39.24,23.49,6.18,37.86,8.68,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.422528033,1.67,328.6248,1889.507,Unidirectional Convergent,Levant
Ksar Akil 28A,2244,3,82.4,46.64,47.37,4.43,9.68,45.18,16.85,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.739497572,10.69,761.283,3003.686,Unidirectional Convergent,Levant
Ksar Akil 28A,2247,4,57.41,33.65,36.07,14.85,7.6,32.39,6.24,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.591627391,2.43,202.1136,1731.4856,Unidirectional Convergent,Levant
Ksar Akil 28A,2248,4,59.36,29.94,31.46,1.37,7.57,26.8,6.92,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.886840432,22.96,185.456,1398.3732,Unidirectional Convergent,Levant
Ksar Akil 28A,2249,4,46.92,20,25.29,2.45,9.34,21,9.91,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.855278766,10.32,208.11,856.6419,Unidirectional Convergent,Levant
Ksar Akil 28A,2250,4,41.77,23.21,27.75,1.59,7.29,23.33,7.59,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.505225225,17.45,177.0747,838.53275,Unidirectional Convergent,Levant
Ksar Akil 28A,2252,5,52.34,23.17,24.45,1.57,5.29,27.79,7.4,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,2.140695297,15.57,205.646,963.5794,Unidirectional Convergent,Levant
Ksar Akil 28A,2274,4,49.46,32.94,30.71,9.23,5.12,28.65,5.4,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.610550309,3.33,154.71,1280.89035,Unidirectional Convergent,Levant
Ksar Akil 28A,2283,8,39.08,22.7,31.69,6.86,8.37,22.79,6.53,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.233196592,4.62,148.8187,908.0238,Unidirectional Convergent,Levant
Ksar Akil 28A,2317,4,37,21.33,23,4.61,5.63,15.25,6.56,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.608695652,4.99,100.04,665.445,Unidirectional Convergent,Levant
